Date,Open,High,Low,Close,Volume
6-Mar-13,23.14,23.74,23.04,23.52,388945
5-Mar-13,22.16,23.65,22.14,22.98,411446
4-Mar-13,22.45,22.45,20.94,22.10,310952
1-Mar-13,20.85,22.49,20.81,22.45,378556
28-Feb-13,21.93,22.22,20.59,20.98,340948
27-Feb-13,20.58,21.76,20.55,21.51,171197
26-Feb-13,20.75,20.91,20.33,20.63,50308
25-Feb-13,21.06,21.06,20.61,20.62,95037
22-Feb-13,20.90,21.18,20.73,21.06,101963
21-Feb-13,20.76,21.00,20.70,20.85,88310
20-Feb-13,20.99,21.10,20.65,20.80,74045
19-Feb-13,21.13,21.13,20.70,20.94,69301
15-Feb-13,20.47,21.05,20.39,21.05,144718
14-Feb-13,20.34,20.60,20.12,20.52,105922
13-Feb-13,20.24,20.42,20.08,20.30,50924
12-Feb-13,19.91,20.30,19.62,20.30,113839
11-Feb-13,21.50,21.50,19.86,19.93,155069
8-Feb-13,21.60,21.75,21.36,21.49,172218
7-Feb-13,21.55,21.59,21.13,21.52,39515
6-Feb-13,21.68,21.86,21.31,21.47,84869
5-Feb-13,21.72,21.91,21.67,21.79,63727
4-Feb-13,21.82,22.20,21.11,21.60,358440
1-Feb-13,20.71,21.90,20.71,21.83,291597
31-Jan-13,20.99,20.99,20.61,20.72,105661
30-Jan-13,20.99,21.05,20.85,20.97,145839
29-Jan-13,21.01,21.09,20.86,20.95,109638
28-Jan-13,20.97,21.10,20.66,20.98,123349
25-Jan-13,20.93,21.06,20.74,20.92,99701
24-Jan-13,20.56,21.05,20.47,20.90,248221
23-Jan-13,20.46,20.54,20.17,20.41,66088
22-Jan-13,20.27,20.44,19.98,20.37,222287
18-Jan-13,20.30,20.38,20.15,20.26,72117
17-Jan-13,20.37,20.37,19.94,20.18,57301
16-Jan-13,20.12,20.30,20.02,20.22,75366
15-Jan-13,19.96,20.25,19.88,20.22,52194
14-Jan-13,20.07,20.14,19.77,20.12,108343
11-Jan-13,19.70,20.30,19.60,20.19,305337
10-Jan-13,19.59,19.93,19.41,19.79,132317
9-Jan-13,19.32,19.80,19.27,19.60,73270
8-Jan-13,18.92,19.16,18.83,19.16,37489
7-Jan-13,19.09,19.09,18.65,19.02,66957
4-Jan-13,19.04,19.58,18.94,19.19,125740
3-Jan-13,19.00,19.09,18.77,18.99,168844
2-Jan-13,18.52,19.07,18.44,18.98,203681
31-Dec-12,19.00,19.11,18.10,18.10,143066
28-Dec-12,18.87,19.27,18.62,18.94,93128
27-Dec-12,19.25,19.25,18.51,18.93,140175
26-Dec-12,19.87,19.93,19.04,19.31,98354
24-Dec-12,19.77,19.86,19.46,19.84,44891
21-Dec-12,19.84,20.06,19.28,19.82,251152
20-Dec-12,20.14,20.14,19.80,19.95,141910
19-Dec-12,20.76,20.84,20.09,20.09,163545
18-Dec-12,20.79,20.99,20.65,20.70,398096
17-Dec-12,20.72,20.83,20.30,20.80,185914
14-Dec-12,20.16,20.80,20.00,20.70,519113
13-Dec-12,20.50,20.52,20.24,20.28,63169
12-Dec-12,20.53,20.75,20.33,20.45,125111
11-Dec-12,20.34,20.74,20.29,20.43,138756
10-Dec-12,20.62,20.70,20.13,20.38,240031
7-Dec-12,20.74,20.83,20.36,20.70,192821
6-Dec-12,20.16,20.83,20.06,20.74,109926
5-Dec-12,20.77,20.79,20.53,20.60,67743
4-Dec-12,20.49,20.87,20.49,20.71,99465
3-Dec-12,20.57,20.84,20.08,20.72,157148
30-Nov-12,20.60,20.76,20.20,20.57,809155
29-Nov-12,20.14,20.95,20.14,20.50,182922
28-Nov-12,19.89,20.20,19.77,20.11,139288
27-Nov-12,20.01,20.18,19.87,19.92,204939
26-Nov-12,19.98,20.05,19.62,20.01,210464
23-Nov-12,20.00,20.02,19.87,20.00,56069
21-Nov-12,19.84,20.08,19.65,19.99,198304
20-Nov-12,20.01,20.12,19.59,19.86,167202
19-Nov-12,19.50,20.30,19.23,20.08,467198
16-Nov-12,19.41,19.50,19.08,19.46,81179
15-Nov-12,19.49,19.83,18.91,19.43,164684
14-Nov-12,19.88,19.97,19.29,19.46,145779
13-Nov-12,19.65,19.88,18.30,19.87,224929
12-Nov-12,19.40,19.78,18.83,19.65,477154
9-Nov-12,19.01,19.48,18.51,19.45,565651
8-Nov-12,17.95,18.13,17.70,17.79,159936
7-Nov-12,18.35,18.36,17.79,18.00,67747
6-Nov-12,18.19,18.67,18.01,18.49,81636
5-Nov-12,17.85,18.29,17.72,18.12,170952
2-Nov-12,18.09,18.12,17.71,17.80,115207
1-Nov-12,18.02,18.20,17.76,18.00,96775
31-Oct-12,17.99,18.09,17.72,17.98,32545
26-Oct-12,17.84,18.07,17.75,17.96,24806
25-Oct-12,17.90,17.94,17.65,17.81,43645
24-Oct-12,17.82,17.82,17.63,17.82,18113
23-Oct-12,17.49,17.81,17.39,17.76,57317
22-Oct-12,17.51,17.75,17.50,17.64,76862
