Date,Open,High,Low,Close,Volume
6-Mar-13,841.02,844.00,828.81,831.38,2869235
5-Mar-13,828.93,840.15,828.90,838.60,4045034
4-Mar-13,805.30,822.84,805.00,821.50,2776185
1-Mar-13,797.80,807.14,796.15,806.19,2175425
28-Feb-13,801.10,806.99,801.03,801.20,2265874
27-Feb-13,794.80,804.75,791.11,799.78,2028515
26-Feb-13,795.00,795.95,784.40,790.13,2205059
25-Feb-13,802.30,808.41,790.49,790.77,2307008
22-Feb-13,799.26,801.25,793.80,799.71,2054050
21-Feb-13,798.00,805.45,791.22,795.53,3511036
20-Feb-13,805.30,808.97,791.79,792.46,2765029
19-Feb-13,795.99,807.00,795.28,806.85,2932924
15-Feb-13,787.40,793.26,787.07,792.89,2729917
14-Feb-13,779.73,788.74,777.77,787.82,1735219
13-Feb-13,780.13,785.35,779.97,782.86,1198170
12-Feb-13,781.75,787.90,779.37,780.70,1858945
11-Feb-13,778.40,783.00,773.75,782.42,2167656
8-Feb-13,780.13,786.67,779.56,785.37,3024853
7-Feb-13,769.70,778.81,765.50,773.95,2840506
6-Feb-13,759.07,772.96,758.50,770.17,2079687
5-Feb-13,761.13,771.11,759.46,765.74,1870716
4-Feb-13,767.69,770.47,758.27,759.02,3041242
1-Feb-13,758.20,776.60,758.10,775.60,3746165
31-Jan-13,750.51,757.62,750.25,755.69,1634556
30-Jan-13,753.74,760.95,752.91,753.83,1732972
29-Jan-13,746.75,756.95,746.54,753.68,1747734
28-Jan-13,751.76,755.60,747.89,750.73,1627833
25-Jan-13,750.77,758.48,750.25,753.67,2225811
24-Jan-13,741.24,756.83,740.51,753.83,3383596
23-Jan-13,735.99,749.00,735.79,741.50,5911865
22-Jan-13,704.66,705.34,695.52,702.87,3792336
18-Jan-13,710.36,712.77,701.33,704.51,3226898
17-Jan-13,717.71,719.64,711.02,711.32,2212357
16-Jan-13,722.40,724.34,713.67,715.19,2024991
15-Jan-13,719.33,735.00,712.10,724.93,3927990
14-Jan-13,737.00,742.20,722.35,723.25,2864106
11-Jan-13,742.00,742.43,736.30,739.99,1285125
10-Jan-13,742.83,745.00,733.50,741.48,1835780
9-Jan-13,732.27,738.35,728.60,738.12,2025751
8-Jan-13,735.54,736.30,724.43,733.30,1676740
7-Jan-13,735.45,739.38,730.58,734.75,1655967
4-Jan-13,729.34,741.47,727.68,737.97,2763552
3-Jan-13,724.93,731.93,720.72,723.67,2318140
2-Jan-13,719.42,727.00,716.55,723.25,2542268
31-Dec-12,700.00,710.57,696.00,707.38,1997733
28-Dec-12,701.69,706.91,700.01,700.01,1403926
27-Dec-12,707.14,708.84,698.61,706.29,1647392
26-Dec-12,708.07,712.88,702.41,708.87,1182572
24-Dec-12,714.51,715.18,707.47,709.50,841931
21-Dec-12,713.97,718.82,710.52,715.63,3527849
20-Dec-12,723.26,724.65,716.97,722.36,1657153
19-Dec-12,720.71,723.00,716.68,720.11,1919799
18-Dec-12,716.60,729.10,715.05,721.07,3005138
17-Dec-12,705.50,738.28,704.02,720.78,3036763
14-Dec-12,699.17,707.82,698.43,701.96,2130595
13-Dec-12,715.92,716.48,699.55,702.70,3446306
12-Dec-12,699.23,703.51,693.48,697.56,2426299
11-Dec-12,690.00,701.92,687.72,696.88,2687956
10-Dec-12,685.39,691.65,683.79,685.42,1366866
7-Dec-12,695.00,696.88,682.42,684.21,1919476
6-Dec-12,687.59,695.61,684.51,691.13,1462216
5-Dec-12,692.15,694.50,682.33,687.82,1862735
4-Dec-12,695.00,695.51,685.70,691.03,1991605
3-Dec-12,702.24,705.89,694.11,695.25,2193948
30-Nov-12,691.31,699.22,685.69,698.37,3164441
29-Nov-12,687.78,693.90,682.00,691.89,2780544
28-Nov-12,668.01,684.91,663.89,683.67,3041940
27-Nov-12,660.17,675.00,658.00,670.71,2509598
26-Nov-12,666.44,667.00,659.02,661.15,2205527
23-Nov-12,669.97,670.00,666.10,667.97,922477
