Date,Open,High,Low,Close,Volume
6-Mar-13,38.80,39.04,38.70,39.02,11647032
5-Mar-13,38.98,39.00,38.56,38.68,13244475
4-Mar-13,38.60,38.82,38.45,38.82,9934533
1-Mar-13,38.49,38.79,38.49,38.70,13727554
28-Feb-13,38.47,38.97,38.42,38.72,19011794
27-Feb-13,38.03,38.54,37.92,38.45,14277317
26-Feb-13,37.95,38.19,37.78,38.11,15771057
25-Feb-13,38.56,38.72,37.72,37.72,15880343
22-Feb-13,37.76,38.52,37.71,38.52,20102895
21-Feb-13,37.62,37.79,37.43,37.71,14137170
20-Feb-13,37.70,37.88,37.41,37.73,12949360
19-Feb-13,37.51,37.77,37.46,37.67,14851051
15-Feb-13,36.94,37.42,36.54,37.42,25216374
14-Feb-13,37.24,37.51,36.70,36.84,22749090
13-Feb-13,37.67,37.94,37.01,37.21,19945753
12-Feb-13,38.11,38.16,37.28,37.56,30700731
11-Feb-13,38.71,38.83,38.41,38.61,12159872
8-Feb-13,38.85,38.94,38.60,38.77,12308001
7-Feb-13,38.42,39.06,38.35,38.91,18806978
6-Feb-13,38.13,38.43,38.00,38.31,16823833
5-Feb-13,37.56,38.16,37.56,38.14,17897284
4-Feb-13,37.48,37.58,37.30,37.35,9456531
1-Feb-13,37.54,37.71,37.37,37.54,11939265
31-Jan-13,37.53,37.53,37.11,37.24,12973749
30-Jan-13,37.40,37.61,37.32,37.50,13220456
29-Jan-13,36.88,37.57,36.86,37.42,17708686
28-Jan-13,37.07,37.11,36.86,37.01,13388625
25-Jan-13,37.18,37.25,36.91,37.05,14041641
24-Jan-13,37.20,37.25,37.00,37.11,13259031
23-Jan-13,37.08,37.26,37.04,37.13,13575362
22-Jan-13,37.74,37.74,37.05,37.13,21250177
18-Jan-13,37.49,37.71,37.30,37.70,14060897
17-Jan-13,37.43,37.66,37.33,37.51,12122702
16-Jan-13,37.21,37.42,37.12,37.32,9168529
15-Jan-13,36.99,37.43,36.80,37.32,12721576
14-Jan-13,36.95,37.11,36.80,36.99,11001439
11-Jan-13,36.84,36.94,36.52,36.91,15644756
10-Jan-13,37.12,37.17,36.76,36.96,15604072
9-Jan-13,37.20,37.20,36.83,37.03,10563740
8-Jan-13,37.19,37.28,36.91,37.04,14328026
7-Jan-13,37.52,37.52,37.10,37.30,14610536
4-Jan-13,37.65,37.87,37.52,37.66,15311842
3-Jan-13,37.45,37.60,37.11,37.60,16357984
2-Jan-13,36.99,37.60,36.66,37.60,21877247
31-Dec-12,35.88,36.28,35.58,36.25,15656007
28-Dec-12,36.22,36.42,35.95,35.97,14058048
27-Dec-12,36.35,36.55,36.20,36.42,11380520
26-Dec-12,36.70,36.80,36.24,36.42,9982068
24-Dec-12,36.72,36.80,36.57,36.73,4851746
21-Dec-12,37.00,37.19,36.53,36.89,27946979
20-Dec-12,36.69,37.10,36.65,37.05,16184981
19-Dec-12,37.25,37.29,36.77,36.78,17991829
18-Dec-12,37.53,37.70,37.13,37.28,17954012
17-Dec-12,37.79,37.82,37.38,37.50,17597425
14-Dec-12,37.52,37.77,37.50,37.66,11800897
13-Dec-12,37.70,37.79,37.53,37.60,11442047
